"",Orthogroup,"omegaCany2spe","OCNany2any","OCNspe2any","OCNany2spe","OCSany2any","OCSspe2any","OCSany2spe","dNCany2spe","dSCany2spe","arity","branch_id_1","branch_id_2","branch_id_3","branch_id_4"
"26","104437258",3.9626,9.025,7.1442,3.1383,4.5913,4.1452,2.3699,3.5769,0.9027,"2",36,112,NA,NA
"27","104437258",8.8355,4.9982,4.7591,3.8808,4.1199,3.4558,1.204,9.7107,1.0991,"2",36,149,NA,NA
"28","104437258",3.859,9.2541,7.9432,3.4433,4.8828,3.6286,1.9596,2.7839,0.7214,"2",47,121,NA,NA
"29","104437258",1255.9278,3.3788,3.28,3.377,1.0115,1.0035,0.0173,28.4327,0.0226,"2",54,126,NA,NA
"30","104437258",2037.5938,3.5795,3.3545,3.3547,1.044,1.0222,0.0088,29.7169,0.0146,"2",63,128,NA,NA
"31","104437258",7.8529,4.1219,4.1135,3.0744,1.8526,1.6462,1.063,6.2171,0.7917,"2",74,95,NA,NA
"32","104437258",3.9965,4.5742,4.4605,3.8116,4.4017,3.8977,2.3236,8.5587,2.1415,"2",74,135,NA,NA
"33","104437258",28.7304,9.155,6.4284,3.0011,1.7558,1.1396,0.2091,2.7277,0.0949,"2",75,86,NA,NA
"34","104437258",4.6763,3.8221,3.7575,3.5507,1.2749,1.2329,0.9956,19.2812,4.1232,"2",137,145,NA,NA
"35","104437258",37.9206,3.9812,3.8291,3.4586,2.5376,1.7811,0.665,13.8373,0.3649,"2",145,151,NA,NA
"36","106180285",159.492,5.8788,5.8784,4.8788,0.0171,0.0169,0.0169,12.5135,0.0785,"2",8,30,NA,NA
"37","106180285",4584609.9975,6.1153,6.0227,4.935,0.9914,0.9906,0,11.1853,0,"2",19,149,NA,NA
"38","106180285",220182.2586,6.866,5.8602,4.9311,1.985,1.9833,0,7.365,0,"2",23,30,NA,NA
"39","106180285",3332.2442,12.189,11.5636,4.5778,0.0619,0.0016,0.0016,3.799,0.0011,"2",28,30,NA,NA
"40","106180285",36538.541,10.7202,10.6902,7.6949,0.0015,2e-04,2e-04,11.2138,3e-04,"2",30,149,NA,NA
"41","106180285",500.5915,7.6283,7.4415,4.6332,0.9468,0.857,0.0082,8.4321,0.0168,"2",54,145,NA,NA
"42","106180285",12502760.9137,8.2775,8.2276,3.9917,0.0023,0,0,6.3808,0,"2",145,149,NA,NA
"43","106329085",3.7107,8.156,4.9678,4.1234,0.5038,0.387,0.386,0.9285,0.2502,"2",5,36,NA,NA
"44","106329085",55.9092,4.1646,3.2018,3.3178,0.7905,0.0815,0.0613,1.4135,0.0253,"2",8,44,NA,NA
"45","106329085",5268.0377,8.8225,7.6721,3.9212,1.7789,1.7092,0.0011,1.1841,2e-04,"2",8,63,NA,NA
"46","106329085",11227.4537,7.6088,7.4674,3.6247,0.0788,0.0141,5e-04,1.0408,1e-04,"2",8,66,NA,NA
"47","106329085",24.8669,19.9535,14.2177,3.5868,2.2473,1.2012,0.1287,0.4759,0.0191,"2",10,18,NA,NA
"48","106329085",526.4521,25.5669,20.6676,3.2115,1.0641,0.979,0.0054,0.3135,6e-04,"2",12,26,NA,NA
"49","106329085",4430.4614,15.1992,6.5321,3.6025,0.468,0.0106,7e-04,0.5803,1e-04,"2",12,57,NA,NA
"50","106329085",125.0587,27.2441,19.1568,7.7397,3.0527,2.8135,0.0497,0.8196,0.0066,"2",12,74,NA,NA
"51","106329085",71.0273,12.7841,8.7266,3.2159,2.9782,1.9297,0.0385,0.6153,0.0087,"2",12,118,NA,NA
"52","106329085",204.6611,16.4719,11.4953,4.8195,1.2003,0.2672,0.0208,0.7455,0.0036,"2",16,21,NA,NA
"53","106329085",259.2345,9.9039,8.2264,4.8212,1.0307,0.0134,0.014,1.2733,0.0049,"2",16,22,NA,NA
"54","106329085",723.3147,12.1494,8.6224,4.0396,0.2875,0.0189,0.0045,0.7637,0.0011,"2",16,99,NA,NA
"55","106329085",14.961,20.5594,11.4872,5.831,0.7694,0.2073,0.1807,0.6905,0.0462,"2",18,74,NA,NA
"56","106329085",1268.7442,13.7952,12.6876,3.9446,1.9589,1.9352,0.0038,0.5531,4e-04,"2",21,135,NA,NA
"57","106329085",169.9096,14.4703,13.7073,5.5406,1.6532,1.1324,0.0369,0.9378,0.0055,"2",21,151,NA,NA
"58","106329085",486.3898,13.3994,9.5824,3.7879,2.4044,2.0472,0.0105,0.6491,0.0013,"2",21,171,NA,NA
"59","106329085",3.7884,6.7031,4.97,3.7381,4.2927,3.65,1.0871,2.0775,0.5484,"2",23,68,NA,NA
"60","106329085",9.1051,6.4376,5.9017,3.6731,1.4754,1.421,0.2042,1.7534,0.1926,"2",23,129,NA,NA
"61","106329085",3.528,16.7561,14.9386,7.0237,6.116,5.4787,1.2606,1.3456,0.3814,"2",23,145,NA,NA
"62","106329085",4.7166,7.7349,6.8001,3.0014,1.2441,1.1483,0.3479,1.0076,0.2136,"2",23,149,NA,NA
"63","106329085",8.2038,8.8544,7.9851,3.2393,2.8295,1.0633,0.1864,0.5711,0.0696,"2",24,26,NA,NA
"64","106329085",108.5346,10.8465,8.8953,3.1408,1.4512,1.0952,0.0312,0.5812,0.0054,"2",24,74,NA,NA
"65","106329085",163.1004,11.0316,7.3447,3.7838,0.2274,0.1321,0.0286,0.9658,0.0059,"2",26,44,NA,NA
"66","106329085",42.041,23.6031,19.4751,7.7379,1.6061,1.463,0.1733,1.0019,0.0238,"2",26,54,NA,NA
"67","106329085",3.3947,23.2758,19.3403,3.0871,3.4834,2.9237,0.3572,0.3206,0.0944,"2",26,87,NA,NA
"68","106329085",263.1119,23.8006,18.3199,4.8773,2.7888,1.5007,0.0191,0.5,0.0019,"2",26,88,NA,NA
"69","106329085",72.3677,26.3157,17.7125,3.0108,2.3322,0.7423,0.0372,0.3308,0.0046,"2",26,99,NA,NA
"70","106329085",13.1462,8.8716,6.1411,3.0671,1.3432,0.5983,0.133,0.8909,0.0678,"2",27,36,NA,NA
"71","106329085",418.3366,15.7949,6.142,5.1631,3.1964,2.9135,0.0151,1.0616,0.0025,"2",28,57,NA,NA
"72","106329085",4.5903,21.1363,16.5582,13.5736,6.1731,5.7406,2.95,3.277,0.7139,"2",28,149,NA,NA
"73","106329085",1819.5751,13.5355,4.8648,3.1894,6.8099,2.9394,0.0022,0.7454,4e-04,"2",30,57,NA,NA
"74","106329085",4.5585,8.1542,6.691,4.2702,3.4836,2.9321,0.9315,1.5078,0.3308,"2",30,112,NA,NA
"75","106329085",4.1946,4.9422,4.3295,3.1609,0.6657,0.5136,0.4779,1.4125,0.3368,"2",30,150,NA,NA
"76","106329085",139.1999,6.8633,2.8769,3.4372,0.2614,0.1355,0.0227,1.3759,0.0099,"2",31,57,NA,NA
"77","106329085",8.1447,13.3112,10.8439,3.9076,0.9992,0.6188,0.1625,1.1403,0.14,"2",31,145,NA,NA
"78","106329085",3.3165,5.6371,5.63,3.6355,2.3022,1.742,1.3058,2.688,0.8105,"2",33,54,NA,NA
"79","106329085",3.2811,4.5535,3.3083,3.0511,1.0098,0.9969,0.9977,2.6519,0.8083,"2",33,56,NA,NA
"80","106329085",1038.6489,13.409,11.3369,3.7855,2.0906,1.8783,0.0041,0.5454,5e-04,"2",34,36,NA,NA
"81","106329085",1879.2831,8.557,5.9184,3.1724,0.9928,0.8926,0.0017,0.7179,4e-04,"2",34,61,NA,NA
"82","106329085",986038.2423,5.3628,2.8546,3.4182,0.0376,6e-04,0,1.4111,0,"2",36,73,NA,NA
"83","106329085",2623.7636,12.6238,9.982,3.0011,0.0666,0.0236,0.0012,0.77,3e-04,"2",39,60,NA,NA
"84","106329085",3257.5262,12.3372,10.0571,4.629,3.1413,1.9135,0.0016,0.7653,2e-04,"2",39,153,NA,NA
"85","106329085",35.9864,10.7467,8.9009,3.6809,3.3128,2.9781,0.0791,0.6985,0.0194,"2",42,145,NA,NA
"86","106329085",3.1564,12.0224,10.9227,6.5856,2.1194,2.0838,2.0235,2.4989,0.7917,"2",44,54,NA,NA
"87","106329085",908.4346,6.0018,5.2403,4.9816,0.0473,0.0132,0.0127,4.0437,0.0045,"2",44,68,NA,NA
"88","106329085",3.4526,8.0755,6.4988,4.6058,0.9803,0.9664,0.9629,2.1898,0.6342,"2",44,151,NA,NA
"89","106329085",69.2431,4.5248,4.3541,3.1426,0.9429,0.9387,0.0329,5.8808,0.0849,"2",44,169,NA,NA
"90","106329085",46.4392,11.4915,8.9109,3.9347,2.0414,2.0244,0.066,0.8996,0.0194,"2",47,134,NA,NA
"91","106329085",51.8574,17.3212,14.442,3.0048,0.2665,0.2162,0.0565,0.4904,0.0095,"2",47,151,NA,NA
"92","106329085",14.1253,8.1859,5.2841,3.0093,1.2797,1.1211,0.0976,0.6769,0.0479,"2",47,161,NA,NA
"93","106329085",13.8708,7.5601,6.4849,3.0501,0.5851,0.3872,0.1323,0.7158,0.0516,"2",47,172,NA,NA
"94","106329085",25.024,5.2261,4.2695,3.2868,0.3481,0.2308,0.0722,2.1858,0.0873,"2",54,85,NA,NA
"95","106329085",6.1548,16.2294,14.9421,9.7168,1.6212,1.5066,0.9762,2.3482,0.3815,"2",54,151,NA,NA
"96","106329085",3.5527,13.4047,9.4049,6.8625,3.4172,2.2584,1.1935,1.5554,0.4378,"2",56,57,NA,NA
"97","106329085",3.0589,5.8076,5.7541,3.1141,1.2233,1.0643,1.0504,1.5498,0.5067,"2",56,68,NA,NA
"98","106329085",394.6787,12.436,11.5753,4.1802,0.6608,0.3403,0.0139,1.1536,0.0029,"2",56,151,NA,NA
"99","106329085",77.2386,12.0763,7.9141,3.7315,3.004,2.7883,0.0509,0.6525,0.0084,"2",60,74,NA,NA
"100","106329085",59.8325,6.9031,6.4214,3.8571,1.0624,0.8723,0.0867,1.2875,0.0215,"2",63,171,NA,NA
"101","106329085",4.0842,7.0378,7.0162,4.0941,1.0954,0.9459,0.9096,2.1908,0.5364,"2",68,151,NA,NA
"102","106329085",31672.2969,4.0113,2.902,3.9996,0.9885,0,1e-04,2.5265,1e-04,"2",75,107,NA,NA
"103","106329085",123.044,6.6236,2.3062,3.9593,1.646,0.4409,0.0283,0.7971,0.0065,"2",86,118,NA,NA
"104","106329085",3.2085,4.4628,3.3757,3.1206,2.2161,2.1125,1.0828,2.148,0.6695,"2",112,129,NA,NA
"105","106329085",53.0472,14.5595,10.2382,6.0349,6.5404,3.5858,0.1389,1.6269,0.0307,"2",112,145,NA,NA
"106","106329085",8.5456,6.6425,5.6249,3.7112,1.2685,1.1955,0.1887,1.5099,0.1767,"2",126,145,NA,NA
"107","106329085",3.431,13.2199,11.5101,5.0732,4.0247,3.74,1.0206,1.4549,0.424,"2",129,145,NA,NA
"108","106329085",3.3323,16.1694,11.2688,5.5972,1.604,1.4119,1.0418,1.1618,0.3486,"2",145,149,NA,NA
"109","106329085",4.2473,25.4994,23.7527,14.1729,4.5672,3.1523,2.1126,2.6269,0.6185,"2",145,151,NA,NA
"110","106407362",81381.0577,7.4287,7.0009,3.9993,0.0031,1e-04,1e-04,1.2718,0,"2",2,40,NA,NA
"111","106407362",8487.2825,13.9168,9.3325,3.3536,0.7695,0.7447,3e-04,0.6484,1e-04,"2",4,36,NA,NA
"112","106407362",5411.1356,10.9824,6.0621,3.981,0.0039,8e-04,6e-04,1.028,2e-04,"2",4,40,NA,NA
"113","106407362",748.6697,22.4048,16.2259,5.0811,0.4492,0.3308,0.0047,0.633,8e-04,"2",8,18,NA,NA
"114","106407362",2404.294,26.9704,20.9921,6.7923,3.3346,2.0988,0.0023,0.7061,3e-04,"2",8,36,NA,NA
"115","106407362",420.5813,23.3118,18.4976,3.9321,2.0171,1.9751,0.0061,0.491,0.0012,"2",8,56,NA,NA
"116","106407362",590.704,20.6471,14.9765,5.6389,0.0324,0.0111,0.0061,0.792,0.0013,"2",8,99,NA,NA
"117","106407362",11.3536,8.4758,7.3084,3.2651,0.1556,0.0807,0.0413,0.6857,0.0604,"2",8,115,NA,NA
"118","106407362",193.6227,12.6557,9.3055,3.4273,0.0552,0.0106,0.0096,0.573,0.003,"2",8,141,NA,NA
"119","106407362",8356.6502,29.9501,21.1562,5.131,2.6327,2.6221,6e-04,0.5642,1e-04,"2",8,153,NA,NA
"120","106407362",2753.5478,31.9968,21.19,8.9167,2.0526,0.998,0.0022,0.8911,3e-04,"2",10,12,NA,NA
"121","106407362",8.5741,26.8779,22.2206,4.3656,1.3783,0.8177,0.0744,0.4669,0.0544,"2",10,99,NA,NA
"122","106407362",3318.5465,19.27,11.3375,3.9826,1.9869,1.9175,0.0012,0.5347,2e-04,"2",10,128,NA,NA
"123","106407362",213.278,5.3382,4.8804,3.0024,1.0094,1.0051,0.0088,0.891,0.0042,"2",10,138,NA,NA
"124","106407362",532.6349,11.7522,9.1013,3.8269,1.9925,1.8019,0.0049,0.5489,0.001,"2",11,60,NA,NA
"125","106407362",2105.0141,19.0662,14.7477,3.876,1.4097,0.0587,0.0015,0.4381,2e-04,"2",11,84,NA,NA
"126","106407362",28.051,27.1038,16.8931,6.7653,0.0908,0.0369,0.0408,0.7931,0.0283,"2",11,99,NA,NA
"127","106407362",119.0669,37.0674,25.4237,4.6343,0.8353,0.1801,0.0169,0.4122,0.0035,"2",12,47,NA,NA
"128","106407362",12426.7756,28.359,17.1619,5.6426,0.5055,0.4716,3e-04,0.6189,0,"2",12,54,NA,NA
"129","106407362",70.727,15.613,6.805,3.0996,0.7126,0.4554,0.0122,0.4677,0.0066,"2",12,58,NA,NA
"130","106407362",902.6206,19.1466,8.549,4.128,0.0231,0.0023,0.0023,0.513,6e-04,"2",12,61,NA,NA
"131","106407362",1906.6866,27.7386,12.7186,4.1176,2.5273,2.5013,0.0014,0.4254,2e-04,"2",12,112,NA,NA
"132","106407362",1401.5914,7.3747,4.7749,3.2305,0.0055,0.0014,0.0013,0.6727,5e-04,"2",12,140,NA,NA
"133","106407362",3.5602,14.6747,13.5952,3.3854,0.14,0.0973,0.0981,0.4794,0.1347,"2",12,141,NA,NA
"134","106407362",476.5918,44.8782,25.7678,10.7363,2.5553,0.4979,0.0091,0.9516,0.002,"2",12,145,NA,NA
"135","106407362",96.9724,20.0563,9.8688,4.8368,0.0836,0.0126,0.0145,0.5739,0.0059,"2",12,148,NA,NA
"136","106407362",52069.419,10.5222,9.5035,3.9568,0.0041,1e-04,1e-04,1.0058,0,"2",13,26,NA,NA
"137","106407362",3.9407,8.2908,3.5266,3.1674,0.2632,0.0939,0.0885,0.725,0.184,"2",14,39,NA,NA
"138","106407362",4.4943,22.4817,15.2294,3.04,1.0738,1.0351,0.0601,0.3602,0.0801,"2",16,28,NA,NA
"139","106407362",2342.8317,6.9268,5.4322,3.9921,0.0253,1e-04,0.001,1.7541,7e-04,"2",17,26,NA,NA
"140","106407362",3186.6829,23.8792,19.0255,5.9714,2.6796,2.2866,0.0018,0.543,2e-04,"2",18,19,NA,NA
"141","106407362",4.1409,37.5191,33.0911,7.8948,1.9737,1.5856,0.2308,0.6548,0.1581,"2",18,28,NA,NA
"142","106407362",17680.1439,9.5203,6.7564,3.4238,0.0023,2e-04,1e-04,1.1525,1e-04,"2",18,97,NA,NA
"143","106407362",551.1602,18.3766,14.0951,3.6607,0.9581,0.9388,0.0043,0.4103,7e-04,"2",18,99,NA,NA
"144","106407362",4.0737,13.6339,11.1367,4.8923,0.3039,0.1981,0.1509,0.7775,0.1909,"2",18,115,NA,NA
"145","106407362",9.0777,47.8962,32.0806,6.4795,3.3699,2.9923,0.0891,0.5123,0.0564,"2",19,36,NA,NA
"146","106407362",3.2834,22.4842,10.3845,6.1666,1.6181,0.5732,0.195,0.8046,0.2451,"2",19,39,NA,NA
"147","106407362",3.1896,42.7043,29.1372,8.0688,4.3852,2.2592,0.2639,0.6838,0.2144,"2",19,47,NA,NA
"148","106407362",43.0161,13.2887,12.2504,3.4083,2.1404,1.9587,0.0338,0.4728,0.011,"2",19,50,NA,NA
"149","106407362",7183.0861,26.8256,13.6493,4.7308,0.9849,0.4187,4e-04,0.5644,1e-04,"2",19,61,NA,NA
"150","106407362",3.9396,35.7189,26.1202,12.3875,1.8426,1.5391,0.4273,1.2187,0.3093,"2",19,70,NA,NA
"151","106407362",3489.1151,43.9677,31.4601,9.715,5.1956,3.4,0.002,0.79,2e-04,"2",19,74,NA,NA
"152","106407362",218.4774,25.3869,24.6682,3.7958,1.2353,1.0159,0.0132,0.3605,0.0017,"2",19,84,NA,NA
"153","106407362",842.6637,30.7033,21.3659,5.1928,1.5249,1.0367,0.0039,0.5163,6e-04,"2",19,86,NA,NA
"154","106407362",5.4222,15.1785,12.5729,3.0806,1.6212,1.0406,0.0864,0.3648,0.0673,"2",19,87,NA,NA
"155","106407362",219.141,17.0987,9.9493,3.1289,1.0227,0.0073,0.0075,0.4404,0.002,"2",19,128,NA,NA
"156","106407362",3.8451,16.8404,13.9282,7.3845,0.9626,0.932,0.259,0.9475,0.2464,"2",19,141,NA,NA
"157","106407362",26.2182,21.2864,10.633,3.5241,1.947,1.9037,0.029,0.4167,0.0159,"2",21,39,NA,NA
"158","106407362",553.3095,22.0645,8.519,3.0099,0.7737,0.0068,0.0029,0.3913,7e-04,"2",21,58,NA,NA
"159","106407362",20.6185,30.0668,24.4473,4.9727,0.2597,0.0614,0.0543,0.4879,0.0237,"2",21,99,NA,NA
"160","106407362",9.2042,10.0748,9.6992,4.4497,1.0995,1.0784,0.0775,0.8025,0.0872,"2",21,137,NA,NA
"161","106407362",28.7313,30.6607,24.939,5.0481,2.3633,2.088,0.0487,0.4807,0.0167,"2",21,171,NA,NA
"162","106407362",21.7704,22.0338,13.25,5.8349,0.2296,0.1775,0.038,0.844,0.0388,"2",22,26,NA,NA
"163","106407362",101.7088,14.064,12.6362,4.1018,1.0385,1.013,0.0194,0.6487,0.0064,"2",22,57,NA,NA
"164","106407362",52.9912,13.8641,5.9597,5.1479,0.9699,0.5984,0.0157,1.1047,0.0208,"2",22,99,NA,NA
"165","106407362",11.0798,13.2801,5.9047,3.9391,1.0127,0.9882,0.0343,0.7958,0.0718,"2",22,148,NA,NA
"166","106407362",6997.9274,35.0886,28.9673,6.1296,2.2029,2.0757,8e-04,0.5226,1e-04,"2",23,30,NA,NA
"167","106407362",6274.5699,13.9561,9.8479,3.366,0.1302,0.0373,5e-04,0.4985,1e-04,"2",23,60,NA,NA
"168","106407362",830.1677,22.6972,10.8072,4.3018,0.9015,0.0017,0.0027,0.5399,7e-04,"2",23,61,NA,NA
"169","106407362",97.7059,12.7867,10.2336,4.8466,0.7761,0.6425,0.0174,0.8033,0.0082,"2",23,115,NA,NA
"170","106407362",3.2824,8.701,7.5201,3.4951,1.4641,1.415,0.1713,0.8101,0.2468,"2",23,116,NA,NA
"171","106407362",255.7134,17.7051,12.0838,4.7672,0.4118,0.3647,0.01,0.5452,0.0021,"2",23,171,NA,NA
"172","106407362",524.7876,22.4583,14.8355,5.739,1.9476,0.93,0.0062,0.7976,0.0015,"2",26,50,NA,NA
"173","106407362",1239.8662,26.1464,17.834,4.1824,0.9758,0.8617,0.0021,0.5205,4e-04,"2",26,64,NA,NA
"174","106407362",68.0834,22.6563,16.7813,3.9445,0.5373,0.4852,0.0193,0.5095,0.0075,"2",26,66,NA,NA
"175","106407362",210.9191,8.2036,6.2244,3.3899,0.9771,0.0102,0.0046,1.004,0.0048,"2",26,97,NA,NA
"176","106407362",5761.4476,53.0783,31.4076,9.0243,4.4204,1.456,0.0012,0.7243,1e-04,"2",26,112,NA,NA
"177","106407362",157.5607,22.3655,15.9947,3.4905,0.0788,0.0251,0.0096,0.4087,0.0026,"2",26,118,NA,NA
"178","106407362",228.2181,16.418,10.9806,3.7977,0.0234,0.0074,0.0078,0.6196,0.0027,"2",26,140,NA,NA
"179","106407362",21.9586,28.1353,19.9581,5.8157,1.9949,1.0186,0.0464,0.5586,0.0254,"2",26,171,NA,NA
"180","106407362",545.3295,40.5325,23.7644,4.1059,2.979,1.9845,0.005,0.3529,6e-04,"2",28,56,NA,NA
"181","106407362",719.2982,22.5066,14.4968,3.6505,1.0154,0.9997,0.0034,0.4746,7e-04,"2",28,60,NA,NA
"182","106407362",279.7099,11.173,6.332,3.1536,0.0221,0.0062,0.0048,0.8265,0.003,"2",28,65,NA,NA
"183","106407362",49.0135,24.1689,14.3999,3.2018,0.4906,0.1095,0.0236,0.2887,0.0059,"2",28,78,NA,NA
"184","106407362",4.7706,19.3729,11.6295,5.0318,2.107,1.986,0.1207,0.6737,0.1412,"2",28,135,NA,NA
"185","106407362",3.8449,61.3769,46.9274,14.2178,5.9005,4.8479,0.5302,1.0675,0.2776,"2",28,153,NA,NA
"186","106407362",24.3375,9.8011,6.9556,3.3415,1.3975,0.708,0.0237,0.9234,0.0379,"2",28,167,NA,NA
"187","106407362",815.6315,36.1927,14.0251,7.0781,0.0957,0.0495,0.0041,0.7011,9e-04,"2",30,57,NA,NA
"188","106407362",6.2975,15.9007,14.1636,5.7786,1.0429,0.9223,0.1228,0.9241,0.1467,"2",30,168,NA,NA
"189","106407362",6965.9939,32.3628,23.1877,6.5808,3.0481,2.8767,8e-04,0.6391,1e-04,"2",30,171,NA,NA
"190","106407362",3.1979,10.3904,2.072,3.7075,0.38,0.147,0.1479,0.8205,0.2566,"2",33,70,NA,NA
"191","106407362",162.7654,6.1255,5.4013,3.907,0.1231,0.0298,0.0096,0.8848,0.0054,"2",33,86,NA,NA
"192","106407362",785.0704,30.5577,25.0434,4.2505,2.536,1.548,0.0041,0.4513,6e-04,"2",34,36,NA,NA
"193","106407362",3.3443,12.4645,8.9805,3.0112,3.9536,3.9381,0.0894,0.5211,0.1558,"2",34,39,NA,NA
"194","106407362",24296.7489,13.4907,11.9757,4.9038,1.0361,0.9997,2e-04,0.6877,0,"2",34,40,NA,NA
"195","106407362",40.593,27.0066,22.8459,4.1455,3.7343,2.7083,0.0337,0.4351,0.0107,"2",34,145,NA,NA
"196","106407362",28.5358,13.767,11.0431,3.0238,0.0895,0.0322,0.0349,0.3976,0.0139,"2",34,148,NA,NA
"197","106407362",25.1458,11.0916,9.2729,3.389,1.2113,0.0342,0.0288,0.6957,0.0277,"2",35,47,NA,NA
"198","106407362",22.0291,11.3041,9.9844,3.1722,0.2507,0.078,0.0319,0.7332,0.0333,"2",35,78,NA,NA
"199","106407362",852.1909,39.1544,20.7158,3.6139,2.9158,1.0372,0.0022,0.339,4e-04,"2",36,57,NA,NA
"200","106407362",105.2074,24.5305,11.8799,3.5249,1.2382,0.3606,0.0107,0.43,0.0041,"2",36,58,NA,NA
"201","106407362",35.4979,19.1079,7.6302,3.4874,0.9829,0.6821,0.017,0.7221,0.0203,"2",36,59,NA,NA
"202","106407362",1633.1552,28.2698,10.6261,3.2756,1.5821,0.9041,0.0013,0.3945,2e-04,"2",36,104,NA,NA
"203","106407362",27.1133,30.7614,17.6526,3.2818,1.7446,1.384,0.0295,0.359,0.0132,"2",36,121,NA,NA
"204","106407362",1319.7607,42.635,31.8751,7.8323,3.9841,3.6483,0.0041,0.6844,5e-04,"2",36,148,NA,NA
"205","106407362",3.8669,14.0402,8.6935,4.4911,1.3318,1.1902,0.1348,0.6559,0.1696,"2",36,161,NA,NA
"206","106407362",6.0585,13.3213,11.9665,4.5359,3.7319,3.4222,0.1105,0.6775,0.1118,"2",36,168,NA,NA
"207","106407362",54.1926,31.5841,26.6746,7.3692,3.7527,3.5157,0.0402,0.6725,0.0124,"2",36,171,NA,NA
"208","106407362",793.2863,18.5014,10.4097,3.8202,0.2558,0.0033,0.0029,0.5139,6e-04,"2",39,86,NA,NA
"209","106407362",1137.655,14.7325,6.0484,3.0286,0.1148,0.1075,0.0015,0.4709,4e-04,"2",39,99,NA,NA
"210","106407362",107.685,22.0419,8.6066,4.2347,2.1578,1.1642,0.0134,0.5406,0.005,"2",39,112,NA,NA
"211","106407362",531.262,13.5272,7.4346,3.2535,0.0535,0.0416,0.0038,0.5641,0.0011,"2",39,141,NA,NA
"212","106407362",9.0087,28.3426,21.5325,3.6333,2.1086,2.0275,0.0677,0.3986,0.0442,"2",40,70,NA,NA
"213","106407362",812974.3479,19.3285,13.3263,5.9588,2.0544,1.9995,0,0.6229,0,"2",40,112,NA,NA
"214","106407362",5.8882,17.9461,12.8476,4.3348,0.5481,0.3819,0.1038,0.6134,0.1042,"2",40,121,NA,NA
